k,q,emissions,integer_emissions,lower_bound,exact_iid_probability
1,0.1,79,79,0.9508702803565445,0.9997572505549684
1,0.5,16,16,0.953229377616041,0.9999847412109375
1,0.75,11,11,0.9586468243259819,0.9999997615814209
1,0.9,9,9,0.9554760661497284,0.999999999
1,0.98,9,9,0.9687797807882744,0.9999999999999994
1,1.0,8,8,0.953229377616041,1.0
2,0.1,96,96,0.9506260999428893,0.9995276893964001
2,0.5,20,20,0.9592377960216338,0.9999799728393555
2,0.75,13,13,0.9540466351856569,0.9999994039535522
2,0.9,11,11,0.9572343557006847,0.999999999
2,0.98,10,10,0.9551342971582906,0.999999999999995
2,1.0,10,10,0.9592377960216338,1.0
4,0.1,128,128,0.95144217872999,0.9991884022970778
4,0.5,26,26,0.9556385582270933,0.9999560117721558
4,0.75,17,17,0.9503348093395401,0.9999988570343703
4,0.9,15,15,0.9646547968799499,0.999999999659664
4,0.98,13,13,0.9501104384302537,0.9999999999999972
4,1.0,13,13,0.9556385582270933,1.0
6,0.1,157,158,0.9500382124772535,0.9988624653951285
6,0.5,32,32,0.9560630663765926,0.9999434628989547
6,0.75,21,21,0.9510940954749523,0.999998756844434
6,0.9,18,18,0.9596882025071165,0.9999999994733841
6,0.98,17,17,0.9669730760493156,1.0
6,1.0,16,16,0.9560630663765926,1.0
12,0.1,240,240,0.950212931632136,0.9983124136436871
12,0.5,48,48,0.950212931632136,0.9998888775186892
12,0.75,32,32,0.950212931632136,0.9999985203431276
12,0.9,27,27,0.9555310000525027,0.9999999995595258
12,0.98,25,25,0.9587776836464439,1.0
12,1.0,24,24,0.950212931632136,1.0
